no,type,date,Value,inc3per,dec3per,incsub,decsub
18,ts_int,7666,54.02930403,67.53663004,81.04395605,13.51,27.01
19,ts_int,7850,31.97237319,39.96546649,47.95855979,7.99,15.99
20,ts_int,8034,40.38903986,50.48629983,60.58355979,10.1,20.19
21,ts_int,8214,70.0162037,87.52025463,105.0243056,17.5,35.01
22,ts_int,8396,42.54212454,53.17765568,63.81318681,10.64,21.27
23,ts_int,8580,30.17980072,37.7247509,45.26970108,7.54,15.09
24,ts_int,8764,41.04913949,51.31142436,61.57370924,10.26,20.52
1,ts_kal,4562,61.34293668,61.34293668,61.34293668,0,0
2,ts_kal,4744,54.78365937,56.42716915,53.18801881,1.643509781,-1.595640564
3,ts_kal,4850,30.87917349,32.75971516,29.10658261,1.880541666,-1.772590881
4,ts_kal,5112,62.95863117,68.79659616,57.6160662,5.837964993,-5.34256497
5,ts_kal,5292,65.76736725,74.02175125,58.43345398,8.254384,-7.333913273
6,ts_kal,5474,60.26472526,69.86333359,51.9848814,9.598608329,-8.279843862
7,ts_kal,5658,31.08559604,37.11782734,26.03369729,6.032231301,-5.051898747
8,ts_kal,5842,43.98062912,54.09062634,35.7602762,10.10999722,-8.220352919
9,ts_kal,6024,52.57044232,66.5946635,41.49959262,14.02422118,-11.0708497
10,ts_kal,6206,48.6323838,63.45423025,37.27267268,14.82184645,-11.35971112
11,ts_kal,6390,29.30619797,39.38507947,21.80656358,10.0788815,-7.499634392
12,ts_kal,6574,41.60810224,57.59534442,30.05857834,15.98724218,-11.5495239
13,ts_kal,6754,57.79194228,82.39749088,40.53410555,24.6055486,-17.25783673
14,ts_kal,6936,51.25077072,75.26348464,34.899281,24.01271392,-16.35148972
15,ts_kal,7120,34.83772541,52.69518549,23.03184058,17.85746008,-11.80588483
16,ts_kal,7304,42.52054679,66.24562643,27.29232097,23.72507964,-15.22822582
17,ts_kal,7484,59.57756175,95.60449697,37.1267668,36.02693522,-22.45079495
18,ts_kal,7666,54.05391997,89.34289364,32.70351054,35.28897367,-21.35040943
19,ts_kal,7850,32.01020258,54.49522717,18.80262038,22.48502459,-13.2075822
20,ts_kal,8034,40.41903114,70.87501576,23.05040868,30.45598462,-17.36862246
21,ts_kal,8214,69.5852694,125.6787368,38.52767652,56.09346743,-31.05759288
22,ts_kal,8396,42.60719827,79.26193966,22.90346858,36.65474139,-19.70372969
23,ts_kal,8580,30.32049077,58.09719572,15.82403676,27.77670495,-14.49645401
24,ts_kal,8764,41.20880568,81.32914303,20.8801618,40.12033735,-20.32864388
